# Radio PRO 2024.1.0
# © 2015-2024 by crosstales LLC (https://www.crosstales.com)
#
# List of DAR radio stations
# Created: 09.02.2024
# Name;Url;DataFormat;AudioFormat;Station (optional);Genres (optional);Bitrate (in kbit/s, optional);Rating (0-5, optional);Description (optional);ExcludeCodec (optional);ChunkSize (in KB, optional);BufferSize (in KB, optional);IconUrl (optional);City (optional);Country (optional);Language (optional)
Radio LIRIA;http://46.4.104.253:9998/;Stream;MP3;http://radioliria.com;traditional folk;128;0.0;Radio Udhezimi Instruction is in Albanian, which is transmitted through the Internet 24 hours straight, Radio present you: the Qur’an, Islamic Lectures, Ilahi, Shows Direct etc…;None;32;48;https://us0-cdn.onlineradiobox.com/img/l/0/72640.v5.png;Tirana;AL;Other
Radio Emigranti;http://www.radioemigranti.com:8000/radioauto64;Stream;MP3;http://www.radioemigranti.com/;Muzika shqiptare;64;0.0;Radio Emigranti Internet OnlyRadioEmigranti hopes to be near you in daily life but also in moments of joy. RadioEmigrantit repertoire is quite wide and includes folk songs and dances from all provinces and territories of Albania, easy music, music of nostalgia, modern, remikse by renowned DJ and talent.;MP3_NLayer;32;48;https://www.liveonlineradio.net/wp-content/uploads/2011/06/radio-emigranti.jpeg;Tirana;AL;Other
Optimod;https://cp1.sednastream.com/proxy/clubfm;Stream;MP3;http://liquidsoap.fm;Misc;128;0.0;;None;32;48;https://cdn-profiles.tunein.com/s9262/images/logoq.png?t=151928;Tirana County;AL;Other
KSUN66 CLASSICS;https://radio8.pro-fhi.net/flux-ksunclassics/stream;Stream;MP3;https://www.ksun66.com;music  classic hits;192;0.0;Top classic rock and folk rock from 60s and 70s;None;32;48;https://us0-cdn.onlineradiobox.com/img/logo/6/10946.v3.png;{unlisted};DZ;English
Radio FamaStar 24/24 Online;http://sirius.shoutca.st:8527/stream;Stream;MP3;;Mais Kizomba Semba Tarraxinha Afrobeat Kuduro Angola;128;0.0;24/7 online radio from Luanda, Angola.;None;32;48;https://mytuner.global.ssl.fastly.net/media/tvos_radios/QMLmatgLP8.png;{unlisted};AO;Portuguese
So Arise Radio;http://usa13.fastcast4u.com/proxy/qwtymoer;Stream;MP3;http://www.soarisemusic.com;Gospel;320;0.0;;None;32;48;https://cdn-profiles.tunein.com/s231383/images/logoq.jpg?t=154081;{unlisted};AG;English
Zoom Radio - Powered by Shoutcheap.com;http://108.178.13.122:8170/;Stream;MP3;http://www.zoomradiofm.com;Various;112;0.0;;None;32;48;https://cdn-radiotime-logos.tunein.com/s240017q.png;St. Johns;AG;English
Arriba FM;http://perseus.shoutca.st:8065/live;Stream;MP3;http://localhost/;Unspecified;128;0.0;;None;32;48;https://cdn-radiotime-logos.tunein.com/s102751q.png;La Plata;AR;Spanish
Blur FM - Buenos Aires Argentina - www.BlurFM.com;https://live.radiovague.com:8443/blurfm01;Stream;MP3;http://www.blurfm.com;indie;128;0.0;Pop, Rock and Indie music 24 hours a day. Commercial free non-stop music. The place designed for those looking to discover new sounds.;None;32;48;https://www.blurfm.com/assets/images/logo-blurfm-1440.png;Buenos Aires;AR;Spanish
Enjoy Rjadio;http://argentina.republicahosting.com:8261/live;Stream;MP3;http:/Njoy.fm;dance hits;128;0.0;EnergyNet Internet Only;None;32;48;https://cdn-radiotime-logos.tunein.com/s111993q.png;Buenos Aires;AR;Spanish
Bar de Blues Radio;http://streamingraddios.online:10264/;Stream;MP3;http://www.bardebluesradio.com;unspecified;128;0.0;Blues, Rock, Jazz...Todo el dia, Todos los dias;None;32;48;https://cdn-radiotime-logos.tunein.com/s176604q.png;{unlisted};AR;Spanish
Mega 95.5 FM;http://206.190.135.28:8578/stream;Stream;MP3;http://example.com;Pop;128;0.0;;MP3_NLayer;32;48;https://www.raddios.com/public/radios/miniatura/13860_miniatura.jpg?%27;Viedma;AR;Spanish
Twitradioo;http://s2.netradiofm.com:6338/;Stream;MP3;http://twitradioo.com;autodj;64;0.0;;None;32;48;https://cdn-radiotime-logos.tunein.com/s224387q.png;{unlisted};AR;Spanish
electroradio.fm;https://stream.electroradio.fm/192k/live;Stream;MP3;https://electroradio.fm;Electronic;192;0.0;NRG.DJ Radio Deejay Sudamericana, 100% Electronic Power. House, Minimal, Trance, Retro & More;None;32;48;https://mobzilla.vo.llnwd.net/o2/MobzillaRadio/400x400/18980.jpg;Buenos Aires;AR;Spanish
FastCast4u.com AutoDJ;http://192.99.170.8:5478/;Stream;MP3;http://www.supermega247.com;Misc;128;0.0;;None;32;48;https://cdn-radiotime-logos.tunein.com/s246164q.png;{unlisted};AR;English
XFM Radio;https://eu.stream4cast.com/proxy/xfmradio/stream;Stream;MP3;http://xfm.am;POP;256;0.0;Armenian radio;None;32;48;https://cdn-profiles.tunein.com/s181311/images/logog.png;Yrevan;AM;Other
Hairenik Armenian Radio;https://streaming.radio.co/sb64369622/listen;Stream;MP3;https://Hairenik.com/Radio;music  world europe  folk;128;0.0;Armenian music.;None;32;48;https://hairenik.com/wp-content/uploads/2013/08/cropped-hairenikweblogo.png;{unlisted};AM;English
Radio Fama Armenian;http://eu.stream4cast.com:8036/stream;Stream;MP3;http://radiofama.am;Pop;192;0.0;Armenian radio.Խաչատուր Աբովյանի անվան հայկական պետական մանկավարժական համալսարան 375010 ՀՀ, Երևան Տիգրան;None;32;48;https://www.radiofama.am/wp-content/uploads/lg8.png;Yerevan;AM;Other
